run,total_return_pct,sharpe_ratio,max_drawdown_pct,ann_volatility_pct
1,268.36504871945317,4.5575538985292745,-14.520320972358668,86.85821349790274
2,237.84966566758047,4.188560509348867,-16.13772409534527,89.36662229570203
3,264.89733037515816,4.539146835903847,-14.27877515882782,86.63922623663478
4,258.1879275650265,4.4613868622736765,-13.66516225028056,87.08142553389342
5,263.230515567877,4.5607310441482465,-13.876000415424846,85.74047058568503
6,250.78586351834824,4.414362398170868,-15.948610782609848,86.58922531184272
7,254.66438036838395,4.3898716394056505,-15.769228212649653,88.11136080694418
8,265.27255945763346,4.4004249562748585,-13.850253486559252,90.0193947643199
9,310.73961447634576,4.8508267531059355,-14.25725768044264,88.08220663209445
10,293.84390337655606,4.732772882444743,-13.610197896040654,87.73924671772912
11,222.26669656058186,4.182418353591244,-17.44023945762177,85.62642368736604
12,233.64604366214982,4.181706858968559,-15.774128004079982,88.52513077950067
13,314.49405566750454,4.768170788943102,-14.693216888714828,90.52214065957985
14,285.01620496053255,4.762819739963784,-12.617035197163146,85.47327970859845
15,296.37231903809817,4.706794326977261,-13.450600542100327,88.86963700339217
16,351.82748598698066,5.066931099222661,-13.815635150393057,89.82272798875236
17,256.6730624186288,4.577333703355385,-14.344003053226064,84.08916953121431
18,295.18387107566207,4.784894578887853,-12.812985713178115,86.80702488638218
