run,total_return_pct,sharpe_ratio,max_drawdown_pct,ann_volatility_pct
1,268.3863912199319,4.669019498171815,-12.868104700266922,84.38223433599312
2,278.2416471347338,4.510038641746469,-13.961735327393429,90.08779324340556
3,288.90216095898234,4.540443399160008,-14.11524489835865,91.40658271888209
4,267.0192855283031,4.5200613407458405,-14.605586915729685,87.51890475669146
5,265.50415186672024,4.480222347237206,-14.60561839879538,88.20696258193372
6,264.94179999948744,4.480859821481587,-14.609563411330267,88.00514554235161
7,246.62087213400827,4.2660900652960745,-17.976887810971153,89.35977010678515
8,306.4175174289248,4.88823583855181,-13.691599367581036,86.49288894206603
9,279.46981101270177,4.714880832108544,-13.636356501796726,85.48871844161613
10,285.54414839074974,4.558868703097526,-15.20987813602059,90.26359034185573
11,250.62727323148488,4.321032490992994,-19.363680157839436,88.98423172299927
12,255.18889534000766,4.353285680679771,-15.935321521835192,89.04718112906873
13,260.50365060650205,4.502330510294097,-14.746611145019294,86.57340830239801
14,289.6662015513527,4.630094247180412,-13.848937249164756,89.3537821809017
15,232.5389476993951,4.21217481911907,-16.839531265905137,87.38984007136078
16,269.1624345016873,4.550180161805848,-13.55399953174702,87.26842848311168
17,288.713449922269,4.743938751165454,-13.866646512942804,86.58092758365312
18,294.5254893460807,4.777150175625491,-14.060023061509874,86.87928410143653
19,270.39896957059636,4.421413267175798,-13.511806625068962,90.64085064217423
20,234.47687193504723,4.3264964840779365,-15.397381077818666,85.01929210455165
21,269.476008422094,4.655258488066256,-14.472157538301428,84.90395019385898
22,253.0229338616757,4.158786434319934,-16.575514045599807,93.82573014713343
23,244.453738019615,4.291729931818016,-14.596008580768565,88.26574921762239
24,275.36568789522283,4.51160051994395,-15.358734716985426,89.37626539735517
25,279.84753079364515,4.664068754188733,-14.259498639730946,86.67441100498706
26,247.974838985099,4.361890538719692,-15.587414801744275,87.25312814200674
27,266.4818997175766,4.526985956371762,-15.005449391222012,87.17631206503644
28,280.1400110387372,4.640112841063698,-14.515875103600786,87.29102751423474
29,255.32425995275457,4.33894519001719,-15.279923070102317,89.48465699575762
30,294.01163828252027,4.82414216615832,-14.170301712080136,85.76821825692966
